UnixTimeStamp,NNIntervals,SDNN_5min,HeartRate,RMSSD_5min
1551452666897,1109,71.31931632382528,58,39.71389203212125
1551452667897,1134,71.40099048578693,57,39.67337080903702
1551452668892,1103,71.36890608419735,57,39.64735120928584
1551452669892,1076,71.27623910063478,57,39.61166359315714
1551452671887,1079,71.67547110467287,57,39.46146833295991
1551452672885,1043,71.67499172698776,57,39.51659429264872
1551452673882,1060,71.68220135757392,57,39.44181109666533
1551452674879,1053,71.63519348381028,58,39.34856444407499
1551452675877,986,71.50715080441334,58,39.462502653104245
1551452677871,999,71.60797987273405,60,39.47885769343077
1551452677872,908,71.91679714767413,60,39.76739340504091
1551452677874,843,72.72542882766425,61,39.879904459025674
1551452678867,914,73.07654661476357,62,39.80128607069572
1551452679865,980,73.10894792121896,62,39.98122440702319
1551452681862,997,73.17848739965962,62,39.985754265959365
1551452681865,987,73.12106119315928,62,39.92217004393612
1551452682859,1063,73.07129407234584,62,40.11491966414763
1551452684855,1099,73.26230583330637,61,40.23637640735755
1551452684858,1058,73.14507379782101,61,40.23898944042258
1551452685851,1087,73.19235375495562,60,40.11229998603287
1551452686848,1097,73.20288067032166,59,39.974144185833815
1551452687847,1075,73.22864616930508,59,39.980927656461255
1551452688845,1121,73.3719088059752,59,40.041927178938195
1551452690838,1093,73.50582420209427,58,39.97129071762197
1551452691837,1134,73.70082464325493,58,40.01402815238165
1551452692834,1116,73.82144297002647,57,40.0226551489287
1551452693831,1068,73.82022188085043,57,40.10958628014788
1551452694828,1099,73.89209211768171,57,39.805735750510344
1551452695827,1097,73.81569221015873,57,39.43465274013064
1551452696825,1008,73.15239798548863,58,39.52705092847226
1551452697822,1091,71.7429758456478,57,39.71968103125314
1551452698819,1145,67.81867360550618,57,39.83039983295727
1551452699815,1070,66.22951245642278,57,39.81737319551764
1551452700814,1132,65.62205279836026,57,39.9099669349757
1551452701812,1130,64.56344218965653,56,39.71773273382252
1551452702808,1132,64.14138166549444,56,39.686570660425964
1551452704805,1174,63.56708999977359,56,39.30566029857339
1551452705802,1104,63.62501310622507,56,39.50879908930985
